FRED Graph Observations,,,,,,
Federal Reserve Economic Data,,,,,,
Link: https://fred.stlouisfed.org,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,
Economic Research Division,,,,,,
Federal Reserve Bank of St. Louis,,,,,,
,,,,,,
CATEPUINDXM,"Economic Policy Uncertainty Index: Categorical Index: Overall, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTRADE,"Economic Policy Uncertainty Index: Categorical Index: Trade policy, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUSOVDEBT,"Economic Policy Uncertainty Index: Categorical Index: Sovereign debt, currency crises, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTAXES,"Economic Policy Uncertainty Index: Categorical Index: Taxes, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUHEALTHCARE,"Economic Policy Uncertainty Index: Categorical Index: Health care, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUREG,"Economic Policy Uncertainty Index: Categorical Index: Regulation, Index, Monthly, Not Seasonally Adjusted",,,,,
,,,,,,
Frequency: Monthly,,,,,,
observation_date,CATEPUINDXM,EPUTRADE,EPUSOVDEBT,EPUTAXES,EPUHEALTHCARE,EPUREG
1990-04-01,101.563227896158000,56.874783882380700,125.3061823732370000,63.273748792672200,26.123646818451200,196.966383646579000
1990-05-01,93.544815193569900,266.689878735663000,48.3880797336869000,62.880877080604700,25.219687513516400,80.607376839323100
1990-06-01,98.326116173552400,270.075743681175000,50.4873308920950000,61.859799803743200,16.745151451433600,90.573989120402700
1990-07-01,102.296864525747000,121.044021627929000,49.7809128510168000,77.629056061073900,66.043414088377700,91.433028610002900
1990-08-01,167.861483872129000,30.586256071878400,0.0000000000000000,130.480475626457000,40.230759641367300,181.339077793709000
1990-09-01,177.469269735392000,99.489871702757000,47.2113358764787000,177.919885450226000,100.662434934023000,231.908102981100000
1990-10-01,178.329762990305000,63.083461828467900,43.2398102413293000,224.762561997749000,206.925389573054000,118.204918287491000
1990-11-01,186.297489790243000,123.198267232360000,268.2363922989480000,179.267830719265000,65.665426765035500,103.117411473724000
1990-12-01,153.601721002701000,138.791766894950000,47.5665847248114000,120.094478811841000,78.882132524174200,146.287177438670000
1991-01-01,271.832409288366000,98.131042769023100,0.0000000000000000,241.622741487095000,151.610575731760000,201.320240511798000
1991-02-01,153.973809878184000,129.390371265026000,0.0000000000000000,153.411755388737000,391.548085263029000,352.978513587306000
1991-03-01,122.136377079229000,148.735989111544000,0.0000000000000000,73.554614593833900,27.665646273940200,112.231947493535000
1991-04-01,111.168108193156000,78.427767835882300,21.9916565546863000,68.588197434983600,39.595895503259300,86.420657383687000
1991-05-01,79.575379055944500,103.538323232320000,21.2907344627555000,67.192643575801000,48.421753129505200,54.564940706651900
1991-06-01,84.941696803723700,87.744133490265100,0.0000000000000000,62.804540238398300,72.666653397031900,69.362048154528300
1991-07-01,109.706905382737000,95.246555418685500,112.9943440972540000,89.780627745674800,102.793715162412000,129.349064863507000
1991-08-01,102.425411002425000,48.745348705432500,42.9581838402181000,57.419654079544300,34.602180077744600,66.057206947202400
1991-09-01,117.118144305900000,56.415440597792200,0.0000000000000000,64.608687430648400,68.020737483084700,111.491513784142000
1991-10-01,112.087226450981000,85.023584280112200,40.3465893177872000,108.606793814298000,61.173796547695600,146.486481325017000
1991-11-01,172.503441458594000,116.888021884703000,0.0000000000000000,216.544279506798000,186.906082687916000,143.130023790238000
1991-12-01,185.475476245329000,207.806217059345000,66.3074869301520000,173.155355255266000,111.008390843859000,156.718835303499000
1992-01-01,162.115469487690000,135.184308579434000,20.8486079910566000,222.936772809419000,193.616231664591000,119.331103202295000
1992-02-01,169.704045093215000,99.608896734953900,43.8915446468493000,185.779536522639000,153.893831715797000,127.485728909478000
1992-03-01,125.409838372822000,164.777762676782000,0.0000000000000000,124.112149740324000,109.294086510001000,131.927371467209000
1992-04-01,95.186968392555100,97.954969575378900,120.8557284740150000,76.283097717027400,59.172008087558800,96.362000283808600
1992-05-01,93.577830439499000,117.698824829457000,0.0000000000000000,89.112682425454200,80.272781354508200,89.595362232818700
1992-06-01,119.819753738361000,168.228804643155000,21.6207070533651000,74.656048584916200,77.856004622734900,94.198038155661100
